var,prefix,LR_sum,Qs_sum,bayes_factor
popcount,USUV_A,100,0,0.4706
gcrop,USUV_A,100,6,0.5625
gpast,USUV_A,100,71,3.7619
gurbn,USUV_A,100,81,2.8462
elevation,USUV_A,100,0,1.381
Flyway_Apod,USUV_A,100,80,2.125
livestock,USUV_A,100,2,1.3256
Flyway_Ans,USUV_A,100,11,1.7778
Flyway_Pas,USUV_A,100,0,0.5152
wetland_combine,USUV_A,100,32,1.7778
popcount,USUV_B,100,0,0.1236
gcrop,USUV_B,100,24,0.7857
gpast,USUV_B,100,68,1.381
gurbn,USUV_B,100,11,19
elevation,USUV_B,100,13,2.125
Flyway_Apod,USUV_B,100,64,0.9608
livestock,USUV_B,100,0,0.0309
Flyway_Ans,USUV_B,100,0,0.0417
Flyway_Pas,USUV_B,100,0,0.0417
wetland_combine,USUV_B,100,35,0.6949
popcount,USUV_D,98,1,0.4286
gcrop,USUV_D,100,3,0.5152
gpast,USUV_D,100,59,1.3256
gurbn,USUV_D,100,25,0.7544
elevation,USUV_D,98,51,1.7027
Flyway_Apod,USUV_D,100,93,2.8462
livestock,USUV_D,98,17,0.9608
Flyway_Ans,USUV_D,100,17,0.6949
Flyway_Pas,USUV_D,100,7,0.6129
wetland_combine,USUV_D,100,19,0.6949
