Accession,Submitters,Organization,Release_Date,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date,complete_date,complete_location,date_format,wild/captive,migration pattern,notes
KX601692,,,,USUV-Rhone2705/France/2015,803,,Oullins,France,turdus merula,,23/09/2015,,,,,,
KX601690,,,,USUV-HautRhin7315/France/2015,947,,Brunstatt,France,turdus merula,,10/08/2015,,,,,,
KX601691,,,,USUV-HautRhin7316/France/2015,947,,Brunstatt,France,turdus merula,,10/08/2015,,,,,,
,,,,USUV-7991/France/2016,966,,Brunstatt,France,turdus merula,,15/08/2016,,,,,,
,,,,USUV-7994/France/2016,913,,Brunstatt,France,turdus merula,,15/08/2016,,,,,,
,,,,USUV-8640/France/2016,926,,Caluire-et-Cuire,France,turdus merula,,16/08/2016,,,,,,
,,,,USUV-8645/France/2016,938,,Saint-Maurice-sur-Dargoire,France,turdus merula,,25/07/2016,,,,,,
,,,,USUV-8760/France/2016,970,,Cellieu,France,turdus merula,,21/09/2016,,,,,,
,,,,USUV-8784/France/2016,949,,Isle,France,turdus merula,,23/09/2016,,,,,,
,,,,USUV-10211/France/2016,974,,Kappelen,France,turdus merula,,19/09/2016,,,,,,
,,,,USUV-10212/France/2016,945,,Brinckheim,France,turdus merula,,22/09/2016,,,,,,
,,,,USUV-10270/France/2016,978,,*Limoges (Laboratoire Départemental d'Analyses et de Recherches 87),France,turdus merula,,05/10/2016,,,,,,
,,,,USUV-8646/France/2016,990,,Saint-Pierre-de-Chandieu,France,turdus merula,,03/08/2016,,,,,,
,,,,USUV-8648/France/2016,984,,Saint-Pierre-de-Chandieu,France,turdus merula,,03/08/2016,,,,,,
,,,,USUV-6736/France/2017,846,,Mulhouse (Parc zoologique et botanique),France,strix nebulosa,,30/08/2017 approx.,,,,,,
,,,,USUV-7285/France/2017,718,,Saint-Aignan (ZooParc de Beauval),France,strix nebulosa,,18/09/2017,,,,,,
,,,,USUV-7391/France/2017,830,,Fréterive,France,turdus merula,,12/09/2017,,,,,,
,,,,USUV-7641/France/2017,821,,Le Touvet,France,turdus merula,,18/09/2017,,,,,,
,,,,USUV-9784/France/2017,905,,Flaviac,France,turdus philomelos,,30/09/2017,,,,,,
,,,,USUV-4752/France/2018,292,,Paris (Jardin des Plantes),France,strix nebulosa,,27/07/2018,,,,,,
,,,,USUV-4817/France/2018,292,,Douadic,France,turdus merula,,23/07/2018,,,,,,
,,,,USUV-4838/France/2018,292,,Cheverny,France,turdus merula,,26/07/2018,,,,,,
,,,,USUV-4997/France/2018,292,,Mailhac-sur-Benaize,France,turdus merula,,24/07/2018,,,,,,
,,,,USUV-5102/France/2018,292,,Payré,France,turdus merula,,03/08/2018,,,,,,
,,,,USUV-5114/France/2018,292,,La Meilleraye-de-Bretagne,France,turdus merula,,06/08/2018,,,,,,
,,,,USUV-5278/France/2018,264,,Château-Gontier-sur-Mayenne (Refuge de l'Arche),France,strix nebulosa,,30/07/2018,,,,,,
,,,,USUV-5279/France/2018,292,,Château-Gontier-sur-Mayenne (Refuge de l'Arche),France,strix nebulosa,,01/08/2018,,,,,,
,,,,USUV-5326/France/2018,292,,La Crèche,France,turdus merula,,09/08/2018,,,,,,
,,,,USUV-5356/France/2018,292,,Paris (Parc Zoologique de Paris),France,turdus merula,,16/08/2018,,,,,,
,,,,USUV-5425/France/2018,291,,"*Moulins (Eurofins, Laboratoire Cœur de France)",France,bubo scandiacus,,21/08/2018 apprx.,,,,,,
,,,,USUV-5432/France/2018,140,,Gaël,France,turdus merula,,13/08/2018,,,,,,
,,,,USUV-5442/France/2018,292,,Rhodes (Parc animalier de Sainte-Croix),France,tetrao urogallus,,21/08/2018,,,,,,
,,,,USUV-5450/France/2018,292,,*Bourges (Fédération des chasseur du cher),France,turdus merula,,22/08/2018 apprx.,,,,,,
,,,,USUV-5453/France/2018,292,,*Verneuil-sur-Vienne (SOS Faune Sauvage),France,turdus merula,,20/08/2018,,,,,,
,,,,USUV-5490/France/2018,291,,Amneville (Parc Zoologique),France,strix nebulosa,,07/08/2018,,,,,,
,,,,USUV-5525/France/2018,289,,Douadic,France,turdus merula,,20/08/2018,,,,,,
,,,,USUV-5533/France/2018,292,,Marcilly la Campagne (Les Ailes d'Urga),France,strix nebulosa,,22/08/2018,,,,,,
,,,,USUV-5612/France/2018,291,,Le Blanc,France,erithacus rubecula,,25/08/2018,,,,,,
,,,,USUV-5615/France/2018,291,,Lencloître (Le Colombier),France,strix nebulosa,,26/08/2018,,,,,,
,,,,USUV-5693/France/2018,292,,Saint-Aignan (ZooParc de Beauval),France,strix nebulosa,,27/08/2018 apprx.,,,,,,
,,,,USUV-5695/France/2018,292,,Saint-Aignan (ZooParc de Beauval),France,strix nebulosa,,27/08/2018 apprx.,,,,,,
,,,,USUV-5700/France/2018,292,,Saint-Aignan (ZooParc de Beauval),France,strix nebulosa,,23/08/2018,,,,,,
,,,,USUV-5701/France/2018,292,,Branches,France,turdus merula,,24/08/2018,,,,,,
,,,,USUV-5917/France/2018,292,,Kintzheim (Volerie des aigles),France,strix nebulosa,,03/09/2018,,,,,,
,,,,USUV-5925/France/2018,292,,Audenge,France,turdus merula,,02/09/2018,,,,,,
,,,,USUV-5930/France/2018,292,,La Teste-de-Buch,France,turdus merula,,23/08/2018,,,,,,
,,,,USUV-5932/France/2018,292,,Castillon-du-Gard,France,turdus merula,,02/09/2018,,,,,,
,,,,USUV-5940/France/2018,292,,*Bourges (Fédération des chasseur du cher),France,turdus merula,,05/09/2018 apprx.,,,,,,
,,,,USUV-5943/France/2018,292,,*Bourges (Fédération des chasseur du cher),France,turdus merula,,05/09/2018 apprx.,,,,,,
,,,,USUV-5957/France/2018,292,,La Châtre,France,turdus merula,,31/08/2018,,,,,,
,,,,USUV-6000/France/2018,292,,Maxéville,France,turdus merula,,31/08/2018,,,,,,
,,,,USUV-6001/France/2018,292,,Laxou,France,turdus merula,,04/09/2018,,,,,,
,,,,USUV-6012/France/2018,254,,Arçonnay,France,turdus merula,,27/08/2018,,,,,,
,,,,USUV-6041/France/2018,292,,Locoal-Mendon,France,turdus merula,,30/08/2018,,,,,,
,,,,USUV-6042/France/2018,292,,Pluvigner,France,turdus merula,,02/09/2018,,,,,,
,,,,USUV-6043/France/2018,292,,Pluvigner,France,turdus merula,,04/09/2018,,,,,,
,,,,USUV-6044/France/2018,292,,Merlevenez,France,turdus merula,,05/09/2018,,,,,,
,,,,USUV-6045/France/2018,292,,Merlevenez,France,turdus merula,,05/09/2018,,,,,,
,,,,USUV-6046/France/2018,292,,Saint-Ouen-les-Vignes,France,turdus merula,,06/09/2018,,,,,,
,,,,USUV-6056/France/2018,176,,Varennes-Vauzelles,France,turdus merula,,05/09/2018,,,,,,
,,,,USUV-6124/France/2018,292,,*Orléans (Fédération des chasseurs 45),France,turdus merula,,11/09/2018 apprx.,,,,,,
,,,,USUV-6159/France/2018,292,,Avion,France,turdus merula,,28/08/2018,,,,,,
,,,,USUV-6236/France/2018,292,,Monthelon,France,turdus merula,,10/09/2018,,,,,,
,,,,USUV-6510/France/2018,292,,Hénon,France,turdus merula,,15/09/2018,,,,,,
,,,,USUV-6567/France/2018,292,,Yzeure,France,turdus merula,,20/09/2018,,,,,,
,,,,USUV-6568/France/2018,292,,*Rambouillet (ONF),France,strix nebulosa,,24/09/2018,,,,,,
,,,,USUV-6569/France/2018,292,,*Rambouillet (ONF),France,strix nebulosa,,24/09/2018,,,,,,
,,,,USUV-6575/France/2018,292,,Verneuil-sur-Avre (Domaine de la Forêt Enchantée),France,strix nebulosa,,25/09/2018 apprx.,,,,,,
,,,,USUV-6576/France/2018,292,,Verneuil-sur-Avre (Domaine de la Forêt Enchantée),France,strix nebulosa,,25/09/2018 apprx.,,,,,,
,,,,USUV-6577/France/2018,292,,Chaulhac,France,turdus merula,,20/09/2018 apprx.,,,,,,
,,,,USUV-6677/France/2018,292,,Rhodes (Parc animalier de Sainte-Croix),France,strix nebulosa,,24/09/2018 apprx.,,,,,,
,,,,USUV-6687/France/2018,292,,*Vals-près-le-Puy (Fédération des chasseur 43),France,turdus merula,,25/09/2018 apprx.,,,,,,
,,,,USUV-6732/France/2018,292,,*Vals-près-le-Puy (Fédération des chasseur 43),France,turdus merula,,25/09/2018 apprx.,,,,,,
,,,,USUV-6737/France/2018,292,,Rivières,France,turdus merula,,27/09/2018,,,,,,
,,,,USUV-6797/France/2018,292,,*Crest (Fédération des chasseur 26),France,turdus merula,,03/10/2018 apprx.,,,,,,
,,,,USUV-6804/France/2018,292,,Le Garn,France,turdus merula,,16/09/2018,,,,,,
,,,,USUV-6806/France/2018,292,,Nimes,France,turdus merula,,01/10/2018,,,,,,
,,,,USUV-6831/France/2018,292,,Guilly,France,turdus merula,,28/09/2018,,,,,,
,,,,USUV-6894/France/2018,292,,Bréau,France,turdus merula,,17/09/2018,,,,,,
,,,,USUV-6895/France/2018,292,,Bréau,France,turdus merula,,02/10/2018,,,,,,
,,,,USUV-7323/France/2018,292,,Ville-sur-Illon,France,Garrulus glandarius,,02/10/2018,,,,,,
,,,,USUV-7378/France/2018,292,,Rambouillet,France,turdus merula,,14/08/2018,,,,,,
,,,,USUV-7380/France/2018,292,,Briis-sous-Forges,France, Poecile atricapillus,,27/08/2018,,,,,,
,,,,USUV-7338/France/2018,292,,*Orléans (Fédération des chasseurs 45),France,turdus merula,,17/10/2018 apprx.,,,,,,
,,,,USUV-7339/France/2018,292,,*Orléans (Fédération des chasseurs 45),France,Poecile atricapillus,,17/10/2018 apprx.,,,,,,
,,,,USUV-6698/France/2020,292,,Reims,France,turdus merula,,07/08/2020,,,,,,
,,,,USUV-6699/France/2020,292,,Charmoy,France,turdus merula,,17/09/2020,,,,,,
,,,,USUV-6802/France/2020,292,,Grenoble,France,turdus merula,,16/09/2020,,,,,,
,,,,USUV-10488/France/2021,292,,Merry-Sec,France,Passer domesticus,,30/08/2021,,,,,,
,,,,USUV-10492/France/2021,266,,Brumath,France,turdus merula,,15/09/2021,,,,,,
,,,,USUV-1434/France/2021,292,,Les Avenières Veyrins-Thuellin,France,turdus merula,,11/10/2021,,,,,,
