tipnames,sequence_accession,sequence_isolate,nuts0_name,nuts0_id,nuts1_name,nuts1_id,nuts2_name,nuts2_id,nuts3_name,nuts3_id,date_ymd,date_dec,date_ym,date_y,host_class,host_order,host_family,host_sciname,host_commonname,organization,collection_location,tissue_specimen_source,biosample,bioproject,date_format,geocode_coords,eurostat_polygon,location_precision,sequence_start,sequence_end,sequence_length,sequence_ambig,generegion_NS5,generegion_env,generegion_nflg,lineage,sublineage,drop_fli,is_europe
PQ039613|1142|regulus_regulus|PL|2023-10-22,PQ039613,114.2,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-10-22,2023.80547945205,2023-10,2023,Aves,passeriformes,regulidae,regulus regulus,goldcrest,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",937,exact,9094,9587,493,0,0,0,0,Africa 3,NA,FALSE,1
PQ039614|137|acanthis_flammea|PL|2023-11-08,PQ039614,137,Polska,PL,Makroregion północny,PL6,Pomorskie,PL63,Gdański,PL634,2023-11-08,2023.85205479452,2023-11,2023,Aves,passeriformes,fringillidae,acanthis flammea,common redpoll,"National Veterinary Research Institute, Department of Poultry Diseases","poland: krynica morska, pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(19.4437701, 54.3799582)",956,exact,9094,9587,493,0,0,0,0,Africa 3,NA,FALSE,1
PQ039617|1322|turdidae_sp|PL|2023-09-27,PQ039617,132.2,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-09-27,2023.73698630137,2023-09,2023,Aves,passeriformes,turdidae,turdidae sp.,thrush sp.,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",937,exact,9094,9587,493,0,0,0,0,Africa 3,NA,FALSE,1
PQ039618|124|pan_troglodytes|PL|2023-10-06,PQ039618,124,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-10-06,2023.76164383562,2023-10,2023,mammalia,primates,hominidae,pan troglodytes,chimpanzee,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",937,exact,9094,9587,493,0,0,0,0,Africa 3,NA,FALSE,1
PQ039619|1097|regulus_regulus|PL|2023-10-17,PQ039619,109.7,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-10-17,2023.79178082192,2023-10,2023,Aves,passeriformes,regulidae,regulus regulus,goldcrest,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",937,exact,9094,9587,493,0,0,0,0,Africa 3,NA,FALSE,1
PQ039622|CS|actitis_hypoleucos|PL|2023-08-15,PQ039622,CS,Polska,PL,Makroregion województwo mazowieckie,PL9,Warszawski stołeczny,PL91,Warszawski zachodni,PL913,2023-08-15,2023.61917808219,2023-08,2023,Aves,charadriiformes,scolopacidae,actitis hypoleucos,common sandpiper,"National Veterinary Research Institute, Department of Poultry Diseases","poland: gora kalwaria, masovian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(21.215337, 51.976466)",981,exact,9143,9587,444,0,0,0,0,Africa 2,NA,FALSE,1
PQ039623|127|turdus_merula|PL|2023-09-27,PQ039623,127,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-09-27,2023.73698630137,2023-09,2023,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",937,exact,9094,9587,493,0,0,0,0,Africa 3,NA,FALSE,1
PQ039624|21|fringilla_coelebs|PL|2023-09-28,PQ039624,21,Polska,PL,Makroregion północny,PL6,Pomorskie,PL63,Gdański,PL634,2023-09-28,2023.7397260274,2023-09,2023,Aves,passeriformes,fringillidae,fringilla coelebs,common chaffinch,"National Veterinary Research Institute, Department of Poultry Diseases","poland: krynica morska, pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(19.4437701, 54.3799582)",956,exact,9094,9587,493,0,0,0,0,Africa 2,NA,FALSE,1
PQ039625|128|turdus_merula|PL|2023-10-22,PQ039625,128,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-10-22,2023.80547945205,2023-10,2023,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",937,exact,9094,9587,493,0,0,0,0,Africa 2,NA,FALSE,1
PQ039626|129|turdus_merula|PL|2023-10-26,PQ039626,129,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-10-26,2023.81643835616,2023-10,2023,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",937,exact,9094,9587,493,0,0,0,0,Africa 2,NA,FALSE,1
