sequence_accession,sequence_isolate,sequence_completeness,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,collection_subdiv2name,collection_subdiv2code,collection_subdiv2lat,collection_subdiv2long,date_ymd,date_dec,date_ym,date_y,tipnames,date_tipdate,host_class,host_order,host_family,host_sciname,host_commonname,date_parsed,collection_tipcode,sequence_start,sequence_end,sequence_length,sequence_generegion
NA,USUV-Rhone2705/France/2015,NA,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2015-09-23,2015.72602739726,2015-09,2015,USUV-Rhone2705/France/2015|turdus_merula|fr_rh|2015-09-23,2015-09-23,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2015-09-23,fr_rh,9167,9967,800,NS5b
NA,USUV-HautRhin7315/France/2015,NA,western europe,france,fra,46.5103009447381,2.5780749353201,grand est,fr.ao,48.6891244210794,5.61945027345468,haut-rhin,fr.hr,47.858558826302,7.27407010115397,2015-08-10,2015.60547945205,2015-08,2015,USUV-HautRhin7315/France/2015|turdus_merula|fr_hr|2015-08-10,2015-08-10,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2015-08-10,fr_hr,8993,9956,963,NS5a
NA,USUV-HautRhin7316/France/2015,NA,western europe,france,fra,46.5103009447381,2.5780749353201,grand est,fr.ao,48.6891244210794,5.61945027345468,haut-rhin,fr.hr,47.858558826302,7.27407010115397,2015-08-10,2015.60547945205,2015-08,2015,USUV-HautRhin7316/France/2015|turdus_merula|fr_hr|2015-08-10,2015-08-10,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2015-08-10,fr_hr,8993,9956,963,NS5a
NA,USUV-7991/France/2016,NA,western europe,france,fra,46.5103009447381,2.5780749353201,grand est,fr.ao,48.6891244210794,5.61945027345468,haut-rhin,fr.hr,47.858558826302,7.27407010115397,2016-08-15,2016.62021857923,2016-08,2016,USUV-7991/France/2016|turdus_merula|fr_hr|2016-08-15,2016-08-15,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2016-08-15,fr_hr,8989,9967,978,NS5a
NA,USUV-7994/France/2016,NA,western europe,france,fra,46.5103009447381,2.5780749353201,grand est,fr.ao,48.6891244210794,5.61945027345468,haut-rhin,fr.hr,47.858558826302,7.27407010115397,2016-08-15,2016.62021857923,2016-08,2016,USUV-7994/France/2016|turdus_merula|fr_hr|2016-08-15,2016-08-15,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2016-08-15,fr_hr,9000,9926,926,NA
NA,USUV-8640/France/2016,NA,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2016-08-16,2016.62295081967,2016-08,2016,USUV-8640/France/2016|turdus_merula|fr_rh|2016-08-16,2016-08-16,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2016-08-16,fr_rh,8969,9924,955,NS5a
NA,USUV-8645/France/2016,NA,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2016-07-25,2016.56284153005,2016-07,2016,USUV-8645/France/2016|turdus_merula|fr_rh|2016-07-25,2016-07-25,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2016-07-25,fr_rh,8989,9944,955,NS5a
NA,USUV-8760/France/2016,NA,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2016-09-21,2016.72131147541,2016-09,2016,USUV-8760/France/2016|turdus_merula|fr_rh|2016-09-21,2016-09-21,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2016-09-21,fr_rh,8989,9975,986,NS5a
NA,USUV-8784/France/2016,NA,western europe,france,fra,46.5103009447381,2.5780749353201,nouvelle-aquitaine,fr.ac,45.1919179875327,0.197671288105137,vienne,fr.vn,46.5639620285522,0.460368340214446,2016-09-23,2016.72677595628,2016-09,2016,USUV-8784/France/2016|turdus_merula|fr_vn|2016-09-23,2016-09-23,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2016-09-23,fr_vn,8992,9951,959,NS5a
NA,USUV-10211/France/2016,NA,western europe,france,fra,46.5103009447381,2.5780749353201,grand est,fr.ao,48.6891244210794,5.61945027345468,haut-rhin,fr.hr,47.858558826302,7.27407010115397,2016-09-19,2016.71584699454,2016-09,2016,USUV-10211/France/2016|turdus_merula|fr_hr|2016-09-19,2016-09-19,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2016-09-19,fr_hr,9004,9988,984,NS5b
NA,USUV-10212/France/2016,NA,western europe,france,fra,46.5103009447381,2.5780749353201,grand est,fr.ao,48.6891244210794,5.61945027345468,haut-rhin,fr.hr,47.858558826302,7.27407010115397,2016-09-22,2016.72404371585,2016-09,2016,USUV-10212/France/2016|turdus_merula|fr_hr|2016-09-22,2016-09-22,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2016-09-22,fr_hr,8984,9951,967,NS5a
NA,USUV-10270/France/2016,NA,western europe,france,fra,46.5103009447381,2.5780749353201,centre-val de loire,fr.cn,47.4804760317939,1.68531193534048,cher,fr.ch,47.0648047400716,2.49102136186609,2016-10-05,2016.75956284153,2016-10,2016,USUV-10270/France/2016|turdus_merula|fr_ch|2016-10-05,2016-10-05,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2016-10-05,fr_ch,8992,9988,996,NS5a
NA,USUV-8646/France/2016,NA,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2016-08-03,2016.58743169399,2016-08,2016,USUV-8646/France/2016|turdus_merula|fr_rh|2016-08-03,2016-08-03,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2016-08-03,fr_rh,8969,9995,1026,NS5a
NA,USUV-8648/France/2016,NA,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2016-08-03,2016.58743169399,2016-08,2016,USUV-8648/France/2016|turdus_merula|fr_rh|2016-08-03,2016-08-03,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2016-08-03,fr_rh,8992,9989,997,NS5a
NA,USUV-7285/France/2017,NA,western europe,france,fra,46.5103009447381,2.5780749353201,centre-val de loire,fr.cn,47.4804760317939,1.68531193534048,loir-et-cher,fr.lc,47.6165720669948,1.4295323778329,2017-09-18,2017.71232876712,2017-09,2017,USUV-7285/France/2017|strix_nebulosa|fr_lc|2017-09-18,2017-09-18,aves,strigiformes,strigidae,strix nebulosa,great grey owl,2017-09-18,fr_lc,9009,9735,726,NS5b
NA,USUV-7391/France/2017,NA,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,savoie,fr.sv,45.4775948647362,6.44631728908985,2017-09-12,2017.69589041096,2017-09,2017,USUV-7391/France/2017|turdus_merula|fr_sv|2017-09-12,2017-09-12,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2017-09-12,fr_sv,9009,9838,829,NS5b
NA,USUV-7641/France/2017,NA,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2017-09-18,2017.71232876712,2017-09,2017,USUV-7641/France/2017|turdus_merula|fr_rh|2017-09-18,2017-09-18,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2017-09-18,fr_rh,9009,9838,829,NS5b
NA,USUV-9784/France/2017,NA,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2017-09-30,2017.74520547945,2017-09,2017,USUV-9784/France/2017|turdidae_sp|fr_rh|2017-09-30,2017-09-30,aves,passeriformes,turdidae,turdidae sp.,thrush sp.,2017-09-30,fr_rh,8970,9902,932,NS5a
NA,USUV-4752/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,île-de-france,fr.if,48.7090354165318,2.5047814681706,paris,fr.vp,48.8566456585096,2.34233846296863,2018-07-27,2018.56712328767,2018-07,2018,USUV-4752/France/2018|strix_nebulosa|fr_vp|2018-07-27,2018-07-27,aves,strigiformes,strigidae,strix nebulosa,great grey owl,2018-07-27,fr_vp,8969,9274,305,NS5a
NA,USUV-4817/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,centre-val de loire,fr.cn,47.4804760317939,1.68531193534048,indre,fr.in,46.777802251863,1.57596419143742,2018-07-23,2018.55616438356,2018-07,2018,USUV-4817/France/2018|turdus_merula|fr_in|2018-07-23,2018-07-23,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-07-23,fr_in,8969,9274,305,NS5a
NA,USUV-4838/France/2018,NA,western europe,france,fra,46.5103009447381,2.5780749353201,centre-val de loire,fr.cn,47.4804760317939,1.68531193534048,loir-et-cher,fr.lc,47.6165720669948,1.4295323778329,2018-07-26,2018.56438356164,2018-07,2018,USUV-4838/France/2018|turdus_merula|fr_lc|2018-07-26,2018-07-26,aves,passeriformes,turdidae,turdus merula,eurasian blackbird,2018-07-26,fr_lc,8969,9274,305,NS5a
