tipnames,sequence_accession,sequence_isolate,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,collection_subdiv2name,collection_subdiv2code,collection_subdiv2lat,collection_subdiv2long,date_ymd,date_dec,date_ym,date_y,date_tipdate,host_class,host_order,host_family,host_sciname,host_commonname,organization,org_location,biosample,bioproject,sequence_start,sequence_end,sequence_length,sequence_generegion,collection_organsiation,drop_fli
NA|USUV-7991/France/2016|turdus_merula|fr_hr|2016-08-15,NA,USUV-7991/France/2016,western europe,france,fra,46.5103009447381,2.5780749353201,grand est,fr.ao,48.6891244210794,5.61945027345468,haut-rhin,fr.hr,47.858558826302,7.27407010115397,2016-08-15,2016.62021857923,2016-08,2016,2016-08-15,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,NA,NA,NA,8990,9956,966,NS5,NA,FALSE
NA|USUV-7994/France/2016|turdus_merula|fr_hr|2016-08-15,NA,USUV-7994/France/2016,western europe,france,fra,46.5103009447381,2.5780749353201,grand est,fr.ao,48.6891244210794,5.61945027345468,haut-rhin,fr.hr,47.858558826302,7.27407010115397,2016-08-15,2016.62021857923,2016-08,2016,2016-08-15,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,NA,NA,NA,9000,9915,915,NS5,NA,FALSE
NA|USUV-8640/France/2016|turdus_merula|fr_rh|2016-08-16,NA,USUV-8640/France/2016,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2016-08-16,2016.62295081967,2016-08,2016,2016-08-16,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,NA,NA,NA,8987,9913,926,NS5,NA,FALSE
NA|USUV-8645/France/2016|turdus_merula|fr_rh|2016-07-25,NA,USUV-8645/France/2016,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2016-07-25,2016.56284153005,2016-07,2016,2016-07-25,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,NA,NA,NA,8990,9933,943,NS5,NA,FALSE
NA|USUV-8760/France/2016|turdus_merula|fr_rh|2016-09-21,NA,USUV-8760/France/2016,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2016-09-21,2016.72131147541,2016-09,2016,2016-09-21,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,NA,NA,NA,8990,9964,974,NS5,NA,FALSE
NA|USUV-8784/France/2016|turdus_merula|fr_vn|2016-09-23,NA,USUV-8784/France/2016,western europe,france,fra,46.5103009447381,2.5780749353201,nouvelle-aquitaine,fr.ac,45.1919179875327,0.197671288105137,vienne,fr.vn,46.5639620285522,0.460368340214446,2016-09-23,2016.72677595628,2016-09,2016,2016-09-23,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,NA,NA,NA,8995,9940,945,NS5,NA,FALSE
NA|USUV-10211/France/2016|turdus_merula|fr_hr|2016-09-19,NA,USUV-10211/France/2016,western europe,france,fra,46.5103009447381,2.5780749353201,grand est,fr.ao,48.6891244210794,5.61945027345468,haut-rhin,fr.hr,47.858558826302,7.27407010115397,2016-09-19,2016.71584699454,2016-09,2016,2016-09-19,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,NA,NA,NA,9004,9977,973,NS5,NA,FALSE
NA|USUV-10212/France/2016|turdus_merula|fr_hr|2016-09-22,NA,USUV-10212/France/2016,western europe,france,fra,46.5103009447381,2.5780749353201,grand est,fr.ao,48.6891244210794,5.61945027345468,haut-rhin,fr.hr,47.858558826302,7.27407010115397,2016-09-22,2016.72404371585,2016-09,2016,2016-09-22,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,NA,NA,NA,8995,9940,945,NS5,NA,FALSE
NA|USUV-10270/France/2016|turdus_merula|fr_ch|2016-10-05,NA,USUV-10270/France/2016,western europe,france,fra,46.5103009447381,2.5780749353201,centre-val de loire,fr.cn,47.4804760317939,1.68531193534048,cher,fr.ch,47.0648047400716,2.49102136186609,2016-10-05,2016.75956284153,2016-10,2016,2016-10-05,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,NA,NA,NA,8996,9977,981,NS5,NA,FALSE
NA|USUV-8646/France/2016|turdus_merula|fr_rh|2016-08-03,NA,USUV-8646/France/2016,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2016-08-03,2016.58743169399,2016-08,2016,2016-08-03,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,NA,NA,NA,8988,9984,996,NS5,NA,FALSE
NA|USUV-8648/France/2016|turdus_merula|fr_rh|2016-08-03,NA,USUV-8648/France/2016,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2016-08-03,2016.58743169399,2016-08,2016,2016-08-03,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,NA,NA,NA,8992,9978,986,NS5,NA,FALSE
NA|USUV-7391/France/2017|turdus_merula|fr_sv|2017-09-12,NA,USUV-7391/France/2017,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,savoie,fr.sv,45.4775948647362,6.44631728908985,2017-09-12,2017.69589041096,2017-09,2017,2017-09-12,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,NA,NA,NA,9009,9825,816,NS5,NA,FALSE
NA|USUV-7641/France/2017|turdus_merula|fr_rh|2017-09-18,NA,USUV-7641/France/2017,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2017-09-18,2017.71232876712,2017-09,2017,2017-09-18,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,NA,NA,NA,9009,9825,816,NS5,NA,FALSE
NA|USUV-9784/France/2017|turdidae_sp|fr_rh|2017-09-30,NA,USUV-9784/France/2017,western europe,france,fra,46.5103009447381,2.5780749353201,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,rhône,fr.rh,45.8703314914795,4.64141155225127,2017-09-30,2017.74520547945,2017-09,2017,2017-09-30,Aves,passeriformes,turdidae,turdidae sp.,thrush sp.,NA,NA,NA,NA,8985,9891,906,NS5,NA,FALSE
NA|USUV-4752/France/2018|strix_nebulosa|fr_vp|2018-07-27,NA,USUV-4752/France/2018,western europe,france,fra,46.5103009447381,2.5780749353201,île-de-france,fr.if,48.7090354165318,2.5047814681706,paris,fr.vp,48.8566456585096,2.34233846296863,2018-07-27,2018.56712328767,2018-07,2018,2018-07-27,Aves,strigiformes,strigidae,strix nebulosa,great grey owl,NA,NA,NA,NA,8969,9262,293,NS5,NA,FALSE
