Univariate_LR_coefficients_null_raster	Univariate_LR_coefficients_chicken_R	Univariate_LR_R2_null_raster	Univariate_LR_R2_chicken_R	Univariate_LR_delta_R2_chicken_R
0.501156897729927	0.00000722280935132202	0.504747196006315	0.000901059813802223	-0.503846136192513
0.157329486545172	-0.00000168766582109788	0.116260839895008	0.000353553459982779	-0.115907286435025
0.315069315823578	-0.0000416489945801639	0.171460156214606	0.0425478847348495	-0.128912271479757
0.176009721470819	-0.00000535431499558542	0.184103749778326	0.00221827840567054	-0.181885471372656
0.0800901575744007	-0.0000167414169126507	0.0152654247136953	0.0330108007316784	0.0177453760179831
0.153037678473847	-0.0000188065193526796	0.184209767323393	0.0833923322212253	-0.100817435102167
0.348914525027822	-0.0000269785741335323	0.392957858872661	0.0726574104010413	-0.32030044847162
0.248288835254325	0.00000943509569534155	0.333869705760653	0.00234057553449529	-0.331529130226158
0.19930190752817	-0.0000191907026698675	0.127859540886459	0.0167932875616335	-0.111066253324825
0.283136239915263	0.00000497881819867963	0.40132378456889	0.0012914672091342	-0.400032317359756
0.366063245609966	-0.00000875962778130341	0.624217085192176	0.00618584548437288	-0.618031239707803
0.283589697448926	-0.0000850740531820639	0.0843422273393643	0.10195283861511	0.0176106112757454
0.197488491887541	-0.0000172871277620572	0.15622999876948	0.0414040493513939	-0.114825949418086
0.246282500717424	-0.0000134243203786625	0.213465450274872	0.0120892916959331	-0.201376158578939
0.228716114162637	-0.0000219283688007187	0.155626882627737	0.0279967860314052	-0.127630096596332
0.0324646383289867	-0.0000147868681074051	0.00220636834254407	0.01342835333622	0.0112219849936759
0.325541255326029	0.0000109736379051846	0.474919952073835	0.0072008021246125	-0.467719149949222
0.277331174129655	0.0000712064505802645	0.852010937819747	0.453468182430603	-0.398542755389144
0.356080614262532	0.0000167193743931882	0.727852385070605	0.607025615783495	-0.12082676928711
0.0653347861954178	0.0000143307426806826	0.0269593270883041	0.0209917818960833	-0.0059675451922208
