cluster,label
A,KX268472|HU10279_09|culex_perexiguus|ES|2009
A,MN813489|HU10279-09|culex_perexiguus|ES|2009
B,KY426758|NA|turdus_merula|DE|2016-09-25
B,KU664608|Usutu_Berlin|strix_nebulosa|DE|2015-08-21
B,KY199556|NA|strix_nebulosa|DE|2016
B,KX601692|USUV-Rhone2705/France/2015|turdus_merula|FR|2015-09-23
B,KF573410|NA|culex_pipiens|ES|2006-08-22
C,PQ041659|USUV_TM_Netherlands_2016|NA|NL|2020
C,MT188658|NA|turdus_merula|NL|2016
C,OP921077|16TV1039_Ixodesfrontalis|ixodes_frontalis|NL|2016-10-07
C,MN122230|AS201800099|turdus_merula|NL|2018-08-07
C,MN122214|AS201700254|turdus_merula|NL|2017-09-22
C,NA|AS20190490|turdus_merula|NL|2019-08-27
C,NA|18TV0475|turdus_merula|NL|2018-08-18
C,NA|AS20190438|gracula_religiosa|NL|2019-09-12
C,MT795154|NA|turdus_merula|DE|2016-09-30
C,MN122236|AS201800113|turdus_merula|NL|2018-08-14
C,MN122175|AS201600244|turdus_merula|NL|2016-09-27
C,MN122249|AS201800129|turdus_merula|NL|2018-08-23
C,MN122163|AS201600121|turdus_merula|NL|2016-09-22
C,MN122224|AS201800091|turdus_merula|NL|2018-08-02
C,MN122227|AS201800094|turdus_merula|NL|2018-08-03
C,MN122207|AS201700167|turdus_merula|NL|2017-09-01
C,MN122254|AS201800155|turdus_merula|NL|2018-08-31
C,MN122240|AS201800118|turdus_merula|NL|2018-08-16
C,NA|AS20221923|turdus_merula|NL|2022-09-04
C,NA|AS20221952|streptopelia_decaocto|NL|2022-09-27
C,PV235996|USUV/NL/2022/CMV3394|culex_sp|NL|2022-07-26
C,MN122186|AS201600286|turdus_merula|NL|2016-09-28
C,MN122201|AS201700121|turdus_merula|NL|2017-08-01
C,MN122169|AS201600173|turdus_merula|NL|2016-10-07
C,MN122206|AS201700155|turdus_merula|NL|2017-08-10
C,NA|AS20200367|turdus_merula|NL|2020-08-16
C,NA|AS20221842|turdus_merula|NL|2022-09-04
C,NA|AS20221670|turdus_merula|NL|2022-07-24
C,NA|AS20221860|turdus_merula|NL|2022-09-14
C,NA|22B00207|turdus_merula|NL|2022-11-12
C,PV235995|USUV/NL/2022/CMV3308|culex_sp|NL|2022-07-13
C,NA|AS20221918|cyanistes_caeruleus|NL|2022-09-15
C,NA|AS20221760|turdus_merula|NL|2022-08-24
C,NA|AS20221627|turdus_merula|NL|2022-07-28
C,NA|AS20221803|turdus_merula|NL|2022-09-02
C,NA|22TV3658|turdus_merula|NL|2022-08-27
C,PQ633267|USUV/NL/2022/SCBC7P30|NA|NL|2022-11-18
C,NA|AS20221838|turdus_merula|NL|2022-08-22
C,NA|AS20210914|turdus_merula|NL|2021-08-30
C,NA|AS20200689|turdus_merula|NL|2020-09-30
C,NA|AS20221637|turdus_merula|NL|2022-08-04
C,NA|AS20221818|turdus_merula|NL|2022-08-31
C,NA|AS20221889|turdus_merula|NL|2022-09-18
C,NA|22B00462|turdus_merula|NL|2022-09-09
C,NA|AS20221846|turdus_merula|NL|2022-09-03
C,NA|AS20221755|strix_nebulosa|NL|2022-07-21
C,NA|AS20221775|turdus_merula|NL|2022-08-28
C,NA|AS20221913|turdus_merula|NL|2022-09-11
C,NA|AS20221884|turdus_merula|NL|2022-09-14
