tree,label
partial_III,NA|6236/France/71/2018|turdus_merula|FR|2018-09-10
partial_III,NA|6012/France/72/2018|turdus_merula|FR|2018-08-27
partial_III,NA|7641/France/38/2017|turdus_merula|FR|2017-09-18
partial_III,MH423836|DoMaPS455/2016|culex_pipiens|DE|2016-07
partial_III,PQ570977|3actief2023|turdus_merula|BE|2023-09-16
partial_III,PQ570974|111actief2023|turdus_merula|BE|2023-08-01
partial_III,PQ570975|134actief2023|turdus_merula|BE|2023-07-10
partial_III,PQ570976|17actief2023|ovis_aries|BE|2023-07-06
partial_III,PQ570979|U22101010002passief2022|rhea_americana|BE|2023-08-19
partial_VI,NA|USU-MO-b3/2010|caprimulgus_europaeus|IT|2010-06-12
partial_VI,JF834669|USU-RA-b1/2010|asio_otus|IT|2010-07-03
partial_VI,NA|USU-RA-m3/2010|culex_pipiens|IT|2010-08-12
partial_VI,JF834663|USU-PR-m1/2010|culex_pipiens|IT|2010-08-18
partial_VI,NA|USU-FE-m6/2010|culex_pipiens|IT|2010-09-22
partial_VI,JF834615|USU-BO-m18/2010|culex_pipiens|IT|2010-09-08
partial_VI,NA|USU-RE-m2/2010|culex_pipiens|IT|2010-07-27
partial_VI,JF834616|USU-FC-m1/2010|culex_pipiens|IT|2010-09-01
partial_VI,JF834597|USU-BO-b2/2010|pica_pica|IT|2010-07-29
partial_VI,NA|USU-RE-m7/2010|culex_pipiens|IT|2010-08-10
partial_VI,HM138709|USU-MO-1/2009|culex_pipiens|IT|2009-09-09
partial_VI,JF834618|USU-FC-b2/2010|turdus_merula|IT|2010-10-13
partial_VI,HM138714|USU-BO-7/2009|culex_pipiens|IT|2009-07-15
partial_VI,NA|USU-MO-m16/2010|culex_pipiens|IT|2010-08-21
partial_VI,NA|USU-BO-m2/2010|culex_pipiens|IT|2010-08-06
partial_VI,KF801586|NA|culex_pipiens|IT|2012-08-22
partial_VI,JF834664|USU-RA-m6/2010|culex_pipiens|IT|2010-09-16
partial_VI,JF834596|USU-MO-m4/2010|culex_pipiens|IT|2010-07-22
partial_VI,JF834679|USU-RE-m13/2010|culex_pipiens|IT|2010-09-07
partial_VI,JF834650|USU-MO-m28/2010|culex_pipiens|IT|2010-09-07
partial_VI,JF834662|USU-RN-b1/2010|garrulus_glandarius|IT|2010-10-28
partial_VI,HM138715|USU-FE-1/2009|culex_pipiens|IT|2009-07-17
partial_VI,PP496780|USU-OE1/2021|NA|CZ|2021-06-15
partial_VI,MW803140|UV780/Serbia/2019|culex_pipiens|RS|2019
partial_II,MF621056|ME/USUV_2D12/Fr_2015|culex_sp|FR|2015
partial_V,NA|6736/France/68/2017|strix_nebulosa|FR|2017-08-30
partial_V,KY113099|BNI-500|turdus_merula|DE|2016-09-26
partial_V,KY113095|BNI-494|turdus_merula|DE|2016-09-29
partial_V,MT476095|USUV_3044_2019|NA|CH|2019
partial_V,KY113090|BNI-489|turdus_merula|DE|2016-09-23
partial_V,PQ144561|ED-I-228/22|turdus_merula|DE|2022-07-13
