Accession,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject
PV541149,,"Nagy,A., Toth,G.E., Cadar,D.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2025-04-26,7096_2024,Orthoflavivirus usutuense,10691,partial,Hungary: Gardony,Hungary,Homo sapiens,,2024-08-07,,
PV501205,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2025-04-23,204,Orthoflavivirus usutuense,10917,partial,Hungary: Vecses,Hungary,Culex,pooled insects,2024-07-21,,
PV501206,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2025-04-23,205,Orthoflavivirus usutuense,10917,partial,Hungary: Vecses,Hungary,Culex,pooled insects,2024-07-21,,
PV501207,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2025-04-23,265,Orthoflavivirus usutuense,10917,partial,Hungary: Budapest,Hungary,Culex,pooled insects,2024-07-21,,
PV501208,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2025-04-23,296,Orthoflavivirus usutuense,10899,partial,"Hungary: Budapest,Soroksar",Hungary,Culex,pooled insects,2024-08-02,,
PV501209,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2025-04-23,373,Orthoflavivirus usutuense,10917,partial,Hungary: Vecses,Hungary,Culex,pooled insects,2024-08-16,,
PV501210,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2025-04-23,406,Orthoflavivirus usutuense,10917,partial,Hungary: Budapest,Hungary,Culex,pooled insects,2024-08-24,,
PV501211,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2025-04-23,412,Orthoflavivirus usutuense,10917,partial,Hungary: Budapest,Hungary,Culex,pooled insects,2024-08-07,,
PV501212,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2025-04-23,416,Orthoflavivirus usutuense,10917,partial,Hungary: Budapest,Hungary,Culex,pooled insects,2024-07-31,,
PV523801,,"Nagy,A., Szabo,B.G., Toth,G.E., Cadar,D.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2025-04-23,9460,Orthoflavivirus usutuense,10687,partial,Hungary: Budapest,Hungary,Homo sapiens,blood,2024-10-04,,
PV523802,,"Nagy,A., Szabo,B.G., Toth,G.E., Cadar,D.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2025-04-23,9731,Orthoflavivirus usutuense,10691,partial,Hungary: Budapest,Hungary,Homo sapiens,blood,2024-10-12,,
